what the avg of five numbers?, 1 
Is the Earth round?,yes 
What is the color of the sky?,blue
Is the tomato healthy?,yes
What is your country name?,Syria
The result of this equal ((3+5)*2)?,16
Is this equal true (0/100)?,no
What is the result of ((8*2)-3)?,13
What is the result of (((24/3)*1)/2)?,4
What is the result of (13*2)?,26
What is the result of (2+1)?,3
What is the result of (100 and 000)?,000
What is the result of (1010 or 1111)?,1111
What is the result of (1+1)?,2
What is the result of (1100 and 1100)?,1100
What is the result of (4*5+7)?,27
What is the result of (1111 XOR 1100)?,0011
What is the result of(5*3/3)?,5
What is the result of (3*3)?,9
What is the result of (2*1+8)?,10
